title,actor,link,rate
星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,https://movie.douban.com/subject/1889243/,9.1
海豚湾,导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...,https://movie.douban.com/subject/3442220/,9.3
V字仇杀队,导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔丽·波曼 Natalie Portm...,https://movie.douban.com/subject/1309046/,8.8
闻香识女人,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,https://movie.douban.com/subject/1298624/,8.9
美丽心灵,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 詹妮弗·...,https://movie.douban.com/subject/1306029/,8.9
教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,https://movie.douban.com/subject/1299131/,9.1
指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,https://movie.douban.com/subject/1291572/,8.9
指环王1：魔戒再现,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,https://movie.douban.com/subject/1291571/,8.9
哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,https://movie.douban.com/subject/1308807/,8.8
天使爱美丽,导演: Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tautou / 马修·卡索...,https://movie.douban.com/subject/1292215/,8.7
情书,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,https://movie.douban.com/subject/1292220/,8.8
死亡诗社,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,https://movie.douban.com/subject/1291548/,8.9
美国往事,导演: Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro / 詹姆斯·伍兹 ...,https://movie.douban.com/subject/1292262/,9.1
七宗罪,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...,https://movie.douban.com/subject/1292223/,8.7
钢琴家,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,https://movie.douban.com/subject/1296736/,9.0
狮子王,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,https://movie.douban.com/subject/1301753/,8.9
勇敢的心,导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,https://movie.douban.com/subject/1294639/,8.8
致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,https://movie.douban.com/subject/1780330/,8.8
被嫌弃的松子的一生,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...,https://movie.douban.com/subject/1787291/,8.9
剪刀手爱德华,导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...,https://movie.douban.com/subject/1292370/,8.7
辩护人,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,https://movie.douban.com/subject/21937445/,9.1
音乐之声,导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...,https://movie.douban.com/subject/1294408/,8.9
